ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
Big Breakfast with Hotcakes	1350	65	25	0.5	510	2100	155	6	48	35
Cinnamon Melts	460	19	9	0	15	370	66	3	32	6
Hotcakes	600	16	7	0	45	610	102	2	45	9
Egg White Delight	280	10	6	0	40	680	29	2	2	18
Hash Browns	150	9	1.5	0	0	320	16	1	0	1
Bacon Egg & Cheese Scratch Biscuit	480	25	12	0	235	1310	43	3	4	19
Sausage Scratch Biscuit	490	32	13	0	75	1070	39	2	3	12
Sausage Scratch Biscuit with Egg	550	36	15	0	240	1160	41	2	4	18
Southern Style Chicken Scratch Biscuit	460	23	8	0	70	1240	48	2	5	16
Sausage McMuffin with Egg Whites	430	26	11	0	60	830	29	2	3	20
Bacon Egg & Cheese McGriddles with Egg Whites	380	15	7	0	35	1230	44	2	15	18
Bacon Egg & Cheese Biscuit with Egg Whites	410	21	11	0	40	1290	39	2	3	18
Big Breakfast with Egg Whites	670	40	15	0	50	1540	52	3	3	24
Big Breakfast with Hotcakes and Egg Whites	1270	57	22	0.5	95	2150	154	6	48	33
Fruit & Maple Oatmeal without Brown Sugar	260	4	1.5	0	5	115	49	5	18	6
Sausage Biscuit with Egg Whites	490	31	14	0	45	1140	36	2	3	17
Sausage Egg & Cheese McGriddles with Egg Whites	510	29	12	0	55	1270	44	2	15	19
Bacon Egg & Cheese Bagel	500	22	9	0	210	1070	52	3	7	23
Steak Egg & Cheese McMuffin	430	22	10	1	285	970	30	2	3	26
Sausage McMuffin	400	25	10	0	55	740	29	2	3	14
Biscuit and Sausage Gravy	440	26	10	0	25	1210	43	2	3	9
Chorizo Burrito	310	15	6	0	175	820	28	2	3	16
Chicken McGriddles	390	15	4.5	0	35	1000	51	2	14	14
Egg and Cheese Bagel	480	20	9	0.5	210	1020	53	4	7	20
Blueberry Muffin Main Street Gourmet	400	15	3	0	45	340	60	2	34	7
Big Breakfast Two Bacon Hotcakes Scrambled Egg and Biscuit	1290	56	22	0.5	505	2300	156	6	48	39
Bacon and White Cheddar Cheese McMuffin	350	16	7	0	255	770	30	2	3	20
Steak and Egg Biscuit	480	27	13	1	215	1300	38	2	3	22
Steak Egg and Cheese McGriddles	500	24	11	1	225	1430	46	3	16	25
Apple Cinnamon Muffin	300	2.5	0.5	0	0	520	61	3	30	7
Sausage Egg and Cheese Bagel	670	39	16	0.5	245	1300	54	4	7	27
Chicken Sausage and Egg McMuffin	360	17	7	0	285	870	30	2	2	23
Big Breakfast Sausage Scrambled with Hotcakes and Muffin	1240	57	20	0.5	510	1600	146	5	47	35
Double Sausage McMuffin with Egg and Cheese	670	48	18	0.5	310	1100	30	2	3	28
Cranberry Orange Muffin	380	9	1.5	0	0	430	70	3	35	6
Spam Eggs and Rice	480	25	9	0	470	780	36	0	1	24
Bagel With Cream Cheese	310	8	4	0	25	570	49	3	6	10
Blueberry Biscuit	230	8	4	0	0	470	36	1	11	3
Biscuit Sausage Egg and Cheese	580	38	17	0	220	1340	39	3	3	20
Big Breakfast Sausage and English Muffin	640	40	13	0	470	990	44	3	2	26
McChicken Biscuit	430	21	9	0	40	1060	45	2	2	14
Biscuit Sausage Gravy Platter	890	52	20	0	50	2410	87	3	6	19
McGriddles Chicken Sausage	320	11	4.5	0	45	1050	42	1	14	13
Cinnamon Sweet Cheese Pastry	150	8	5	0	35	160	16	0	7	3
Raspberry Pastry	110	5	2.5	0	15	105	14	1	4	2
Bacon Biscuit	340	17	9	0	20	1010	36	2	3	10
Bagel Plain	250	2	0	0	0	480	48	3	5	9
Country Ham Biscuit	340	14	8	0	35	1600	36	2	2	15
Big Breakfast Steak Hotcakes Scrambled with Biscuit	1290	57	23	1.5	515	2190	155	6	47	40
Biscuit Chicken Sausage	350	17	8	0	50	1110	36	2	2	13
Berry Bran Muffin	410	15	1.5	0	0	480	62	7	28	7
Grits	140	6	3.5	0	15	75	19	2	0	2
Local Deluxe Breakfast	900	45	16	0	520	1340	82	1	2	38
Double Chocolate Muffin	450	15	3.5	0	0	600	74	4	42	8
Blueberry Muffin	450	17	1.5	0	0	360	67	3	32	7
Cinnamon Coffee Cake	160	7	2	0	20	125	22	1	13	2
Steak Egg and Cheese Bagel with Slivered Onions	620	30	13	1	255	1390	54	4	7	32
Big Breakfast Bacon Scrambled and Biscuit	690	40	15	0	460	1690	54	3	3	30
Country Ham and Egg Biscuit	400	18	9	0	205	1690	38	2	2	21
Chicken Sausage McMuffin	290	12	6	0	65	800	29	2	2	16
Big Breakfast Bacon Sausage Scrambled with Hotcakes and Muffin	1310	61	22	0.5	525	1840	147	5	48	40
Biscuit Sausage and Cheese	510	34	16	0	55	1250	38	2	3	14
Spam Side Order	190	16	6	0	45	660	1	0	1	8
Portuguese Sausage Eggs and Rice	520	29	10	0	475	690	37	1	2	26
Fruit and Maple Oatmeal with Maple Sugar Packet	270	4	1.5	0	5	115	53	5	22	7
Egg and Chorizo Breakfast Bowl	460	29	9	0	500	1060	23	3	2	27
Hot N Spicy McChicken Biscuit	430	22	9	0	40	1070	46	3	2	14
Big Breakfast Steak Scrambled with Biscuit	710	41	16	1	475	1640	53	3	3	31
McGriddles Spam	450	21	9	0	205	1320	45	2	15	17
Green Chile Bacon Burrito	690	35	12	1	410	1640	66	3	5	29
Green Chile Sausage Burrito	820	48	17	1	430	1680	66	3	5	30
Scratch Biscuit and Gravy	470	27	10	0	55	1290	47	2	4	10
Biscuit Scratch Sausage and Cheese	540	35	15	0	90	1270	41	2	4	14
Lemon Poppy Seed Muffin Topper	150	7	1.5	0	15	120	22	1	13	2
Chocolate Coffee Cake	170	8	2.5	0	20	180	21	1	13	2
Blueberry Muffin Topper	160	7	2	0	20	150	22	0	12	2
Double Chocolate Muffin Topper	170	8	2.5	0	20	140	23	1	14	2
Carrot Muffin	440	17	1.5	0	0	370	67	2	35	6
Mini Butter Croissant	140	7	4.5	0	30	180	16	1	2	3
Turkey Sausage and Tomatillo Scramble Bowl	330	200	34	41	575	191	29	2	5	29
Side Salad	15	0	0	0	0	15	3	1	1	1
Premium Bacon Ranch Salad (without chicken)	190	12	5	0	40	500	9	3	3	14
Premium Southwest Salad (without chicken)	160	7	3	0	15	200	19	5	4	8
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken	490	28	8	0	95	1120	28	4	4	33
Premium Bacon Ranch Salad with Grilled Chicken	320	14	6	0	135	1230	9	3	4	42
Premium Southwest Salad with Buttermilk Crispy Chicken	520	25	6	0	75	960	46	8	9	28
Premium Southwest Salad with Grilled Chicken	350	11	4.5	0	110	1070	27	6	9	37
Snacks & Sides Broccoli Cheese Soup	190	11	3	0	25	1340	14	0	3	6
Chicken Noodle Soup	110	2	0.5	0	25	830	15	0	1	10
Fruit 'n Yogurt Parfait	150	2	1	0	5	75	30	1	22	4
Small French Fries	230	11	1.5	0	0	160	29	3	0	3
Fruit 'n Yogurt Parfait with Chobani	120	0.5	0	0	5	65	21	1	16	8
Apple Slices	15	0	0	0	0	0	4	0	3	0
Side Salad	15	0	0	0	0	15	3	1	1	1
Large French Fries	510	24	3.5	0	0	350	66	6	0	7
Kids Fries	110	5	1	0	0	80	15	1	0	1
Ranch Snack Wrap (Buttermilk Crispy)	380	20	6	0	45	830	34	2	2	16
Ranch Snack Wrap (Grilled)	300	13	4.5	0	65	890	25	1	2	21
Mac Snack Wrap	340	20	7	1	50	660	26	2	2	15
Go-GURT Strawberry Flavored Low Fat Yogurt Tube	50	0.5	0	0	5	30	8	0	6	3
Mozzarella Sticks (3 Piece)	190	10	4	0	20	460	18	1	1	8
Basket of Fries	670	32	4.5	0	0	460	87	8	0	9
Pineapple Side	60	0	0	0	0	0	15	2	11	1
McCheddar Potato Bites (12 piece)	400	20	5	0	15	1070	47	3	3	9
Popcorn (Large)	500	33	3	0	0	1250	45	3	0	6
Medium French Fries	340	16	2	0	0	230	44	4	0	4
Portuguese Sausage Side Order	220	19	7	0	50	570	2	0	1	10
Saimin	240	2.5	1	0	20	610	45	2	2	10
Popcorn (Small)	230	15	1.5	0	0	580	21	1	0	3
McCheddar Potato Bites (8 piece)	270	13	3.5	0	10	710	31	2	2	6
Gourmet Twist Hot Pretzel with Butter Salt	450	4.5	0	0	0	960	85	3	3	12
Plain Gourmet Pretzel Twist	440	3.5	0	0	0	460	85	3	3	12
Gilroy Garlic Fries (Large)	600	31	6	0	0	620	70	7	1	10
Gilroy Garlic Fries (Medium)	420	23	4.5	0	0	500	48	5	1	8
Fruit 'N Yogurt Parfait (Large)	300	4.5	2.5	0	15	110	58	1	45	8
Cheese Curds	440	30	15	1	80	970	18	2	1	24
French Fries (Large) Compostable Packaging	470	22	3	0	0	330	61	5	0	6
French Fries (Medium) Compostable Packaging	380	18	2.5	0	0	260	49	4	0	5
French Fries (Kids) Compostable Packaging	190	9	1	0	0	130	25	2	0	2
Hot Caramel Sundae Compostable Packaging	340	10	5	0	25	140	54	1	38	7
Strawberry Sundae Compostable Packaging	270	9	3.5	0	20	75	43	1	38	6
Beverages Coca-Cola Zero Sugar (Large)	0	0	0	0	0	75	0	0	0	0
Minute Maid Lemonade (Extra Small)	110	0	0	0	0	70	28	0	27	0
Chocolate Shake (Small)	530	15	9	0.5	60	260	87	1	74	12
Vanilla Shake (Small)	490	14	9	0.5	60	230	79	0	59	11
Strawberry Shake (Small)	500	15	9	0.5	60	190	80	0	71	12
Egg Nog Shake (Small)	450	13	8	0.5	55	160	74	0	63	10
Hot Chocolate (Small)	370	14	8	0	40	170	51	1	48	11
Coca-Cola Zero Sugar (Extra Small)	0	0	0	0	0	30	0	0	0	0
Coca-Cola Zero Sugar (Medium)	0	0	0	0	0	55	0	0	0	0
Coca-Cola Zero Sugar (Small)	0	0	0	0	0	40	0	0	0	0
Iced Coffee (Large)	260	9	6	0	35	90	45	0	42	3
Iced Coffee (Medium)	180	7	4.5	0	25	65	30	0	28	2
Fat Free Chocolate Milk Jug	130	0	0	0	5	135	23	0	22	9
Dasani Water	0	0	0	0	0	0	0	0	0	0
