ITEM	CAL	FAT	SFAT	TFAT	CHOL	SALT	CARB	FBR	SGR	PRO
Southern Style Chicken Biscuit (Regular Size Biscuit) 5 oz (143 g)	410	20	8	0	30	1180	41	2	3	17
Sausage Burrito 3.9 oz (111 g)	300	16	7	0	115	790	26	1	2	12
Fruit & Maple Oatmeal 8.9 oz (251 g)	290	4	1.5	0	5	160	58	5	32	5
Egg McMuffin® 4.8 oz (136 g)	300	13	5	0	260	750	31	4	3	17
Bacon, Egg & Cheese Biscuit (Regular Size Biscuit) 5.3 oz (150 g)	460	26	13	0	250	1300	38	2	3	19
Sausage Biscuit (Regular Size Biscuit) 4.1 oz (117 g)	430	27	12	0	30	1080	34	2	2	11
Sausage Biscuit with Egg (Regular Size Biscuit) 5.7 oz (163 g)	510	33	14	0	250	1170	36	2	2	18
Bacon, Egg & Cheese McGriddles 6.1 oz (174 g)	460	21	9	0	250	1250	48	2	15	19
Sausage McGriddles® 5 oz (141 g)	420	22	8	0	35	1030	44	2	15	11
Sausage, Egg & Cheese McGriddles® 7.1 oz (201 g)	550	31	12	0	265	1320	48	2	15	20
Bacon, Egg & Cheese Bagel with Egg Whites 6.8 oz (194 g)	530	23	8	0.5	50	1340	55	3	7	27
Big Breakfast® (Regular Size Biscuit) 9.5 oz (269 g)	740	48	17	0	555	1560	51	3	3	28
Big Breakfast with Hotcakes (Regular Size Biscuit) 14.8 oz (420 g)	1090	56	19	0	575	2150	111	6	17	36
Cinnamon Melts 4 oz (114 g)	460	19	9	0	15	370	66	3	32	6
Hotcakes 5.3 oz (151 g)	350	9	2	0	20	590	60	3	14	8
Egg White Delight 4.8 oz (135 g)	250	8	3	0	25	770	30	4	3	18
HASH BROWNS 2 oz (56 g)	150	9	1.5	0	0	310	15	2	0	1
Bacon, Egg & Cheese Biscuit (Large Size Biscuit) 5.8 oz (164 g)	520	30	14	0	250	1410	43	3	4	19
Big Breakfast with Hotcakes (Large Size Biscuit) 15.3 oz (434 g)	1150	60	20	0	575	2260	116	7	17	36
Big Breakfast® (Large Size Biscuit) 10 oz (283 g)	800	52	18	0	555	1680	56	4	3	28
Sausage Biscuit (Large Size Biscuit) 4.6 oz (131 g)	480	31	13	0	30	1190	39	3	3	11
Sausage Biscuit with Egg (Large Size Biscuit) 6.2 oz (177 g)	570	37	15	0	250	1280	42	3	3	18
Southern Style Chicken Biscuit (Large Size Biscuit) 5.5 oz (157 g)	470	24	9	0	30	1290	46	3	4	17
Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit) 5.9 oz (167 g)	470	25	12	0	35	1420	42	3	4	20
Sausage McMuffin with Egg Whites 5.7 oz (161 g)	400	23	8	0	50	880	30	4	2	21
Bacon, Egg & Cheese McGriddles with Egg Whites 6.3 oz (178 g)	400	15	7	0	35	1250	47	2	16	20
Bacon, Egg & Cheese Biscuit with Egg Whites (RegularBiscuit) 5.4 oz (153 g)	410	20	11	0	35	1300	36	2	3	20
Big Breakfast with Egg Whites (Large Size Biscuit) 10.1 oz (286 g)	690	41	14	0	35	1700	55	4	4	26
Big Breakfast with Egg Whites (Regular Size Biscuit) 9.6 oz (272 g)	640	37	14	0	35	1590	50	3	3	26
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit) 15.4 oz (437 g)	1050	50	16	0	55	2290	115	7	18	35
